Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"1023493, 1046518, 1064629, 1114567",0,0,0,1,0,0,1,100,0,0,100
103-2410-H-006-127,1,0,0,0,0,0,1,0,1,0,100
"103356, G10/33239.1 G13/135909.1",1,0,0,0,0,0,1,0,1,0,100
"1035100, 1046518, 2014-055, 2016-310",0,1,0,0,0,0,1,100,0,0,100
1040830,0,1,0,0,0,0,1,100,0,0,100
1041020,1,0,0,0,0,1,2,50,0,0,50
"1041352, 1109355",0,0,0,1,0,0,1,100,0,0,100
1041650,1,0,0,0,0,0,1,0,1,0,100
"1044829, 351541",0,0,0,0,1,0,1,100,0,0,100
10450830,0,1,0,0,0,0,1,100,0,0,100
1045161,0,1,0,0,0,0,1,100,0,0,100
1046518,1,0,0,1,0,0,2,50,0,1,100
"1046518, 1064629, 1091124, 1114567",0,0,0,0,1,0,1,100,0,0,100
"1046518, 2013.81.1664",1,0,0,0,0,0,1,0,1,0,100
"1046518, 633003",0,1,0,0,0,0,1,100,0,0,100
104797/Z/14/Z.,0,0,0,0,1,0,1,100,0,0,100
105-Y-A-005,1,0,0,0,0,0,1,0,1,0,100
105605/Z/14/Z,0,1,0,0,0,0,1,100,0,0,100
"1058213, 1083090, 1111705",1,0,0,0,0,0,1,0,1,0,100
1059711,0,0,0,0,0,1,1,100,0,0,100
"1059B141500520, 2015-1",1,0,0,0,0,0,1,0,1,0,100
106-2410-H-008-038-MY3,1,0,0,0,0,0,1,0,1,0,100
1064629,0,1,0,0,0,0,1,100,0,0,100
1064901601,4,0,1,0,0,0,5,20,4,0,100
107-P003,1,0,0,0,0,0,1,0,1,0,100
107213001,1,0,0,0,0,0,1,0,0,1,100
107213002,1,0,0,0,0,0,1,0,0,1,100
107459-001,0,0,0,0,0,1,1,100,0,0,100
107731-002,0,0,0,0,0,1,1,100,0,0,100
107‐2118‐M007‐006‐MY3,0,0,0,0,0,1,1,100,0,0,100
108-2611-M-002-001,0,0,0,1,0,0,1,100,0,0,100
1083920,0,0,0,1,0,0,1,100,0,0,100
1088313,0,0,0,0,1,0,1,100,0,0,100
1090888,0,1,0,0,0,0,1,100,0,0,100
10x Genomics,0,0,0,1,0,0,1,100,0,0,100
"11-13R, BB/CCG1860/1, BB/R012512/1, BBS/E/F/00044600, BBS/E/F/000PR10343, BBS/E/F/000PR10347",0,1,0,0,0,0,1,100,0,0,100
11-CX24,2,1,0,0,0,0,3,33,2,0,100
11-UOA-199,0,1,0,0,0,0,1,100,0,0,100
"11.417, NA14OAR4170064",0,1,0,0,0,0,1,100,0,0,100
11/626,0,0,0,1,0,0,1,100,0,0,100
"1103020, 1158296",1,0,0,0,0,0,1,0,1,0,100
111 Program (State Administration of Foreign Experts Affairs & the Ministry of Education of China),1,0,0,0,0,0,1,0,1,0,100
111 Project Grant of NPU,1,0,0,0,0,0,1,0,1,0,100
"111 Project of ChinaMinistry of Education, China - 111 Project",1,0,0,1,0,0,2,50,1,0,100
