WoS Subject,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
Parasitology,2,2,0,0,0,0,4,50,2,0,100
Pathology,16,1,0,0,1,4,22,27,5,1,54
Pediatrics,144,12,3,23,14,19,215,33,106,7,85
Pharmacology & Pharmacy,136,37,1,21,38,17,250,45,106,1,88
Philosophy,16,1,1,0,2,0,20,20,11,3,90
Physical Geography,35,4,2,2,12,6,61,42,31,1,95
Physics,139,28,146,3,61,72,449,69,117,21,99
Physiology,52,36,0,30,10,6,134,61,48,2,98
Plant Sciences,38,19,0,5,8,10,80,52,31,0,91
Polymer Science,57,8,3,1,4,2,75,24,40,1,78
Psychiatry,95,27,4,14,24,12,176,46,66,26,98
Psychology,274,39,3,22,41,18,397,30,195,70,97
Public Administration,32,1,2,0,2,4,41,21,26,4,95
"Public, Environmental & Occupational Health",148,105,4,28,51,30,366,59,108,31,97
"Radiology, Nuclear Medicine & Medical Imaging",24,17,1,7,7,9,65,63,18,2,93
Rehabilitation,44,2,2,3,11,2,64,31,38,5,98
Religion,10,3,0,1,0,0,14,28,8,0,85
Remote Sensing,8,6,0,0,0,0,14,42,7,0,92
Reproductive Biology,27,1,0,17,5,7,57,52,26,1,100
Research & Experimental Medicine,39,43,1,2,9,9,103,62,29,1,91
Respiratory System,22,9,0,14,11,11,67,67,14,1,89
Rheumatology,34,13,0,6,4,1,58,41,30,2,96
Robotics,25,8,0,2,2,0,37,32,17,2,83
Science & Technology - Other Topics,143,272,1,27,19,26,488,70,107,10,94
Social Issues,13,0,0,3,0,1,17,23,10,3,100
Social Sciences - Other Topics,85,24,2,7,6,11,135,37,55,28,98
Social Work,32,12,0,4,6,7,61,47,24,8,100
Sociology,25,0,7,4,0,1,37,32,8,17,100
Spectroscopy,10,0,0,0,0,0,10,0,9,1,100
Sport Sciences,46,6,0,13,6,6,77,40,34,7,93
Substance Abuse,38,4,0,3,5,5,55,30,34,1,94
Surgery,159,8,0,32,12,7,218,27,130,9,90
Telecommunications,35,38,0,5,1,3,82,57,16,9,87
Theater,13,0,0,0,0,0,13,0,10,1,84
Thermodynamics,29,1,0,0,1,0,31,6,29,0,100
Toxicology,26,2,2,2,0,1,33,21,25,0,96
Transplantation,7,1,0,2,1,0,11,36,6,0,90
Transportation,44,1,1,3,7,4,60,26,27,12,91
Tropical Medicine,1,1,0,0,0,0,2,50,1,0,100
Urban Studies,33,1,1,1,3,0,39,15,24,9,100
Urology & Nephrology,24,5,0,4,4,5,42,42,23,0,97
Veterinary Sciences,9,4,0,1,2,1,17,47,9,0,100
Virology,2,2,2,1,0,3,10,80,2,0,100
Water Resources,58,8,3,2,5,7,83,30,47,8,96
Women's Studies,18,0,0,0,0,0,18,100,0,0,100
Zoology,56,2,0,5,6,8,77,27,29,10,77
