Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"AgResearch, Grasslands Research Centre, Palmerston North, New Zealand, Riddet Institute, Massey University, Palmerston North, New Zealand, High-Value Nutrition National Science Challenge, The University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"AgResearch, Grasslands Research Centre, Palmerston North, New Zealand, Riddet Institute, Massey University, Palmerston North, New Zealand, High-Value Nutrition National Science Challenge, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"AgResearch, Grasslands Research Centre, Palmerston North, New Zealand, School of Biological Sciences, University of Auckland",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"AgResearch, Hopkirk Research Institute, Grasslands Research Centre, Palmerston North, 4442, New Zealand, DairyNZ Limited, C/o University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Anatomy and Medical Imaging Department, Faculty of Medical and Health Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Anatomy and Medical Imaging Department, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Anatomy and Medical Imaging and Eisdell Moore Centre, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Anatomy and Medical Imaging, Centre for Brain Research, Eisdell Moore Centre, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Anatomy and Medical Imaging, FMHS University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Anatomy and Medical Imaging, Faculty of Medical and Health Sciences, The University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Anatomy and Medical Imaging, University of Auckland",2,1,1,0,0,0,0,2,1,50%,1,0,100%
Anatomy with Medical Imaging FMHS University of Auckland,1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Anatomy with Medical Imaging, FMHS University of Auckland",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Anatomy, University of Otago, Dunedin, Otago, New Zealand, Maurice Wilkins Centre for Molecular Biodiscovery, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Andreas Neef is at the Development Studies Programme, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Anthropology Programme, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Anthropology, Goldsmiths University of London, London, United Kingdom, Anthropology, School of Social Studies, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Anthropology, School of Social Sciences, Faculty of Arts, University of Auckland",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Anthropology, School of Social Sciences, University of Auckland",10,5,0,0,2,1,2,10,5,50%,5,0,100%
"Anthropology, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Anthropology, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Applied Linguistics and Language Teaching, School of Cultures, Languages and Linguistics, University of Auckland",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Applied Surgery and Metabolism Laboratory, School of Biological Sciences, The University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Applied Surgery and Metabolism Laboratory, School of Biological Sciences, University of Auckland",13,4,5,0,2,0,2,13,9,69%,3,0,92%
"Applied Translational Genetics Group, School of Biological Sciences, Centre for Brain Research, The University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Applied Translational Genetics Group, School of Biological Sciences, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Applied Translational Genetics Group, School of Biological Sciences, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Art History Humanities, Faculty of Arts, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Art History, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Arts and Culture Studies / Media and Communication, Erasmus University Rotterdam, Netherlands, Psychological Medicine, University of Auckland",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Asian Studies, University of Auckland",4,4,0,0,0,0,0,4,0,0%,4,0,100%
"Associate Professor of Human Geography, School of Environment, University of Auckland",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Auckland Bioeng. Inst. and Dept. Eng. Sci., University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
Auckland Bioengineering Inst University of Auckland,1,1,0,0,0,0,0,0,0,,0,0,0%
"Auckland Bioengineering Institute & Department of Engineering Science, University of Auckland",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Auckland Bioengineering Institute (ABI), University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Bioengineering Institute and Department of Engineering Science, University of Auckland",2,0,0,0,0,2,0,2,2,100%,0,0,100%
"Auckland Bioengineering Institute and the Department of Engineering Science, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Auckland Bioengineering Institute and the Department of Surgery, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Auckland Bioengineering Institute, Department of Engineering Science, University of Auckland",2,1,1,0,0,0,0,2,1,50%,0,1,100%
"Auckland Bioengineering Institute, Department of Surgery, University of Auckland",2,2,0,0,0,0,0,2,0,0%,0,2,100%
"Auckland Bioengineering Institute, Faculty of Medical and Health Sciences, University of Auckland",2,1,0,0,1,0,0,2,1,50%,1,0,100%
"Auckland Bioengineering Institute, New Zealand, Department of Engineering Science, University of Auckland",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Auckland Bioengineering Institute, The University of Auckland",54,28,14,0,4,5,3,54,26,48%,28,0,100%
"Auckland Bioengineering Institute, University of Auckland",125,70,26,3,7,9,10,118,53,44%,48,12,90%
"Auckland Cancer Society Research Center, Faculty of Medical and Health Sciences, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Cancer Society Research Centre (ACSRC), Faculty of Medical and Health Sciences (FM and HS), University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Auckland Cancer Society Research Centre (ACSRC), Faculty of Medical and Health Sciences (FM&HS), The University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Auckland Cancer Society Research Centre and Department of Molecular Medicine and Pathology, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Cancer Society Research Centre and Department of Molecular Medicine and Pathology, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Auckland Cancer Society Research Centre and Discipline of Nutrition and Dietetics, Faculty of Medical and Health Sciences, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Cancer Society Research Centre, Auckland, New Zealand, Maurice Wilkins Centre for Molecular Biodiscovery, University of Auckland",1,0,0,1,0,0,0,1,1,100%,0,0,100%
"Auckland Cancer Society Research Centre, Faculty of Medical and Health Sciences, The University of Auckland",8,4,2,0,0,1,1,8,4,50%,4,0,100%
"Auckland Cancer Society Research Centre, Faculty of Medical and Health Sciences, University of Auckland",11,8,2,0,0,0,1,11,3,27%,5,0,72%
"Auckland Cancer Society Research Centre, Faculty of Medicine and Health Sciences, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences and Maurice Wilkins Centre, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences, Faculty of Health and Medical Sciences, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences, Faculty of Medical and Health Sciences, The University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences, Faculty of Medical and Health Sciences, University of Auckland",6,2,3,0,1,0,0,6,4,66%,2,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences, Faculty of Medicine and Health Sciences, The University of Auckland",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences, New Zealand, Maurice Wilkins Centre, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences, Private Bag 92019, Auckland, 1142, New Zealand, Maurice Wilkins Centre, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences, The University of Auckland",3,2,0,0,0,0,1,3,1,33%,2,0,100%
"Auckland Cancer Society Research Centre, School of Medical Sciences, University of Auckland",14,9,4,0,0,0,1,14,5,35%,4,0,64%
"Auckland Cancer Society Research Centre, School of Medical Sciences, and Maurice Wilkins Centre for Molecular Biodiscovery, The University of Auckland",1,1,0,0,0,0,0,0,0,,0,0,0%
"Auckland Cancer Society Research Centre, The University of Auckland",2,1,0,0,0,1,0,2,1,50%,1,0,100%
"Auckland Cancer Society Research Centre, University of Auckland",33,11,9,1,1,7,4,33,22,66%,7,0,87%
Auckland City Hospital and University of Auckland,1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Auckland City Hospital, Auckland District Health Board, Auckland, 1023, New Zealand, Department of Surgery, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Auckland City Hospital, Auckland, New Zealand, University of Auckland",2,2,0,0,0,0,0,2,0,0%,1,0,50%
"Auckland City Hospital, Green Lane Cardiovascular Service, Auckland, New Zealand, Department of Medicine, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Auckland City Hospital, Green Lane Cardiovascular Service, Auckland, New Zealand, University of Auckland",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Auckland City Hospital, New Zealand, University of Auckland",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Auckland City Hospital, University of Auckland",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Auckland City hospital, Auckland District Health Board, Auckland, New Zealand, Faculty of Medical and Health Science, University of Auckland",1,1,0,0,0,0,0,1,0,0%,1,0,100%
