Funder,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
AGMARDT (New Zealand),0,0,0,1,0,0,1,100,0,0,100
AGMARDT Postdoctoral Fellowship,2,2,0,0,2,0,6,66,2,0,100
AHDB Beef and Lamb,3,0,0,0,0,1,4,25,3,0,100
ANR-10-LABX-45,0,1,0,0,0,0,1,100,0,0,100
ANR-14-CE35-0018,0,0,0,0,1,0,1,100,0,0,100
ANR-16-TERC-0025-01,0,0,0,0,1,0,1,100,0,0,100
ANRFrench National Research Agency (ANR),2,0,0,0,0,0,2,0,2,0,100
APC,0,1,0,0,0,0,1,100,0,0,100
APC: University of Canterbury Library Open Access Fund,0,1,0,0,0,0,1,100,0,0,100
APCIN2016-00033-00-00,1,0,0,0,0,0,1,0,1,0,100
ARC's Industrial Transformation Research Program,0,2,0,0,0,0,2,100,0,0,100
ARCAustralian Research Council,1,0,0,0,0,0,1,0,1,0,100
Academy of Finland,0,0,0,1,1,0,2,100,0,0,100
"Academy of Finland: 01LN1317A, 268277, 277403, 292836, 292944",0,0,0,0,1,0,1,100,0,0,100
Academy of Finland: 283101,0,0,0,1,0,0,1,100,0,0,100
Academy of FinlandAcademy of FinlandEuropean Commission,0,0,0,1,0,1,2,100,0,0,100
Academy of Sciences of the Czech RepublicCzech Academy of Sciences,0,0,0,0,0,1,1,100,0,0,100
Action Plan of Shanghai Chinese Medicine for Three Years,0,1,0,0,0,0,1,100,0,0,100
"AgBioResearch, Michigan State University",0,0,0,0,0,1,1,100,0,0,100
"AgLS Faculty, Lincoln University, New Zealand",0,1,0,0,0,0,1,100,0,0,100
AgMardt,2,0,0,0,0,0,2,0,1,1,100
AgResearch,5,1,0,0,0,2,8,37,5,0,100
AgResearch Limited,1,0,0,0,0,0,1,0,1,0,100
AgResearch Limited (Strategic Science Investment Fund),2,0,0,0,0,0,2,0,2,0,100
AgResearch Ltd.,1,0,0,0,0,0,1,0,0,1,100
AgResearch Pre-Seed Grant,1,0,0,0,0,0,1,0,1,0,100
AgResearch Research for Innovation and Impact programme,0,0,0,0,0,1,1,100,0,0,100
AgResearch SSIF,0,0,0,0,0,1,1,100,0,0,100
AgResearch SSIF programme AgriSTAR,0,0,0,0,0,1,1,100,0,0,100
"AgResearch Strategic Science Investment Fund - New Zealand Ministry of Business, Innovation and Employment",0,0,0,0,0,1,1,100,0,0,100
"AgResearch Strategic Science Investment Fund through the New Zealand Ministry for Business, Innovation, and Employment",1,0,0,0,0,0,1,0,1,0,100
AgResearch core funding,1,0,0,0,0,0,1,0,1,0,100
AgResearch's Resilient Rural Communities programme,0,0,1,0,0,0,1,100,0,0,100
AgResearch: A22715,2,0,0,0,0,0,2,0,2,0,100
"Agence Nationale de la Recherche, ANR",2,2,0,0,1,0,5,60,2,0,100
"Agence Nationale de la Recherche, ANR: ANR-10-LABX-45",0,1,0,0,0,0,1,100,0,0,100
"Agencia Estatal de Investigación, AEI",0,0,0,0,0,1,1,100,0,0,100
Agencia Nacional de Investigacion e Innovacion of Uruguay,0,0,0,0,1,0,1,100,0,0,100
"Agencia Nacional de Investigación e Innovación, ANII",1,1,0,0,1,0,3,66,1,0,100
"Agencia Nacional de Investigación e Innovación, ANII: POS_EXT_2014_1_105884",0,1,0,0,0,0,1,100,0,0,100
"AgriSea Ltd. (Paeroa, New Zealand)",1,0,0,0,0,0,1,0,0,0,0
"Agricultural Experiment Station, New Mexico State University, AES, NMSU",0,1,0,0,0,0,1,100,0,0,100
