Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Center for Ecological Genomics and Wildlife Conservation, Department of Zoology, University of Johannesburg, Auckland Park, 2006, South Africa, Department of Pest-Management and Conservation, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Center for Ecological Genomics and Wildlife Conservation, University of Johannesburg, Auckland Park, 2006, South Africa, Department of Pest-management and Conservation, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Center for Ecological Genomics and Wildlife Conservation, University of Johannesburg, Auckland Park, South Africa, Department of Pest-management and Conservation, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Center for International Cooperation, Ministry of Agriculture, Jakarta, Indonesia, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Center of Plant, Soil Interaction and Natural Resources Biotechnology, Scientific and Biotechnological Bioresource Nucleus (BIOREN-UFRO), Universidad de La Frontera, Temuco, 4780000, Chile, Doctorado en Ciencias de Recursos Naturales, Universidad de La Frontera, Avenida Francisco Salazar, 01145, P.O. Box 54-D, Temuco, 4780000, Chile, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Centre for Advanced Computational Solutions (C-fACS), Lincoln University",2,0,2,0,0,0,0,2,2,100%,0,0,100%
"Centre for Advanced Computational Solutions, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Agri-Environmental Research, School of Agriculture, Policy and Development, University of Reading, Reading, Berkshire  RG6 6AR, United Kingdom, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Excellence – Designing Future Productive Landscapes, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Excellence: Designing Future Productive Landscapes, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Food Research and Innovation Centre for Food Research and Innovations, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre for Food Research and Innovation, Department of Wine, Food and Molecular Bioscience, Lincoln University",3,1,2,0,0,0,0,3,2,66%,0,0,66%
"Centre for Food Research and Innovation, Department of Wine, Food and Molecular Biosciences, Lincoln University",6,6,0,0,0,0,0,6,0,0%,6,0,100%
"Centre for Food Research and Innovation, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre for Soil and Environmental Research, Lincoln University",11,10,0,0,1,0,0,11,1,9%,10,0,100%
"Centre for Wildlife Management & Conservation, Lincoln University",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Centre for Wildlife Management and Conservation, Lincoln University",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Centre of Excellence for Sustainable Tourism, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Centre of Excellence of Food for Future Consumers, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre of Excellence: Designing Future Production Landscapes, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Centre of Excellence: Sustainable Tourism for Regions Landscapes and Communities, Lincoln University",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Centre of Excellence: Sustainable Tourism for Regions, Landscapes and Communities, Lincoln University",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Centre of Excellence: Sustainable Tourism, Lincoln University",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"College of Agricultural Sciences, Department of Veterinary Medicine, Guangdong Ocean University, Zhanjiang, China, Faculty of Agriculture and Life Sciences, Department of Wine, Food, and Molecular Biosciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"College of Agriculture and Forestry Science, Linyi University, Linyi, 276000, China, Department of Soil and Physical Sciences, Lincoln University",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Complex Systems, Big Data and Informatics (CSBII), Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Complex Systems, Big Data and Informatics Initiative (CSBII) and Centre for Advanced Computational Solutions (C-fACS), Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Complex Systems, Big Data and Informatics Initiative (CSBII), Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"DairyNZ Ltd, Canterbury Agriculture and Science Centre, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"DairyNZ Ltd, Lincoln University",3,0,0,0,0,1,2,3,3,100%,0,0,100%
"DairyNZ Ltd., Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"DairyNZ, Lincoln University",5,4,0,0,0,0,1,5,1,20%,1,3,100%
"Department of Accounting, Economics & Finance, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Accounting, Economics and Finance, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Department of Accounting, Finance and Economics, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Department of Agribusiness and Commerce, Lincoln University",2,1,0,0,0,1,0,2,1,50%,0,1,100%
"Department of Agribusiness and Markets, Faculty of Agribusiness and Commerce, Lincoln University",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"Department of Agribusiness and Markets, Faculty of Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Department of Agribusiness and Markets, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Department of Agricultural Economics and Rural Development, University of Goettingen, Germany, Department of Global Value Chains and Trade, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Agricultural Science, Lincoln University",4,1,3,0,0,0,0,4,3,75%,0,1,100%
"Department of Agricultural Sciences, Faculty of Agricultural and Life Sciences, Lincoln University",2,1,0,0,0,0,1,2,1,50%,0,1,100%
"Department of Agricultural Sciences, Faculty of Agriculture and Life Sciences, Lincoln University",8,5,2,0,0,1,0,8,3,37%,4,0,87%
"Department of Agricultural Sciences, Lincoln University",9,3,5,0,1,0,0,9,6,66%,3,0,100%
"Department of Agriculture and Life Sciences, Lincoln University",2,1,1,0,0,0,0,2,1,50%,1,0,100%
"Department of Basic Medical Sciences, Lincoln University",1,1,0,0,0,0,0,0,0,,0,0,0%
"Department of Biological Sciences, Louisiana State University, Baton Rouge, LA, United States, The Bio-Protection Research Centre, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Biosystems Engineering, Shiraz University, Shiraz, Iran, Lincoln Agritech Ltd., Lincoln University",1,0,0,1,0,0,0,1,1,100%,0,0,100%
"Department of Business Management, Law and Marketing, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Business and Finance, Department of Accounting, Finance and Economics, Faculty of Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Business and Finance, Faculty of Agribusiness and Commerce, Lincoln University",2,1,1,0,0,0,0,2,1,50%,0,1,100%
"Department of Civil Engineering, Faculty of Engineering, University of Peradeniya, Peradeniya, 20400, Sri Lanka, Department of Soil and Physical Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Department of Conservation, Private Bag 4715, Christchurch, New Zealand, Centre for Wildlife Management & Conservation, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Ecology, Lincoln University",4,3,0,0,1,0,0,4,1,25%,3,0,100%
"Department of Environmental Management, Faculty of Environment, Society and Design, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Environmental Management, Lincoln University",10,7,1,0,1,0,1,10,3,30%,7,0,100%
"Department of Financial and Business Analysis, Lincoln University",3,2,0,0,0,1,0,3,1,33%,2,0,100%
