Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Department of Financial and Business System, Faculty of Agribusiness and Commerce, Lincoln University",3,2,1,0,0,0,0,3,1,33%,0,2,100%
"Department of Financial and Business Systems, Faculty of Agribusiness and Commerce, Lincoln University",4,2,0,0,1,0,1,4,2,50%,2,0,100%
"Department of Financial and Business Systems, Lincoln University",6,6,0,0,0,0,0,6,0,0%,3,3,100%
"Department of Food Science, Faculty of Science and Technology, Aarhus University, Kirstinebjergvej 10, Aarslev, 5792, Denmark, Department of Wine, Food and Molecular Biosciences, Faculty of Agriculture and Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Food Science, University of Otago, PO Box 56, Dunedin, 9054, New Zealand, Department of Wine, Food and Molecular Biosciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Food and Resource Economics, Faculty of Agribusiness and Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Food, Wine and Molecular Biosciences, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Geography, University of Wisconsin-Madison, Madison, WI, United States, Centre for Excellence (DFPL), Lincoln University",1,1,0,0,0,0,0,0,0,,0,0,0%
"Department of Global Value Chain and Trade, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Global Value Chains & Trade, Faculty of Agribusiness & Commerce, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Global Value Chains and Trade, Faculty of Agribusiness and Commerce, Lincoln University",30,23,3,0,1,1,2,30,7,23%,21,2,100%
"Department of Global Value Chains and Trade, Lincoln University",7,7,0,0,0,0,0,7,0,0%,3,4,100%
"Department of Land Management and Systems, Faculty of Agribusiness and Commerce, Lincoln University",3,1,0,0,0,1,1,3,2,66%,1,0,100%
"Department of Land Management and Systems, Lincoln University",6,3,3,0,0,0,0,6,3,50%,3,0,100%
"Department of Management and Marketing, Lincoln University",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Department of Mass Communications, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Molecular Biosciences, and Centre for Advanced Computational Solutions (C-fACS), Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Pest Management & Conservation, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Pest Management and Conservation, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Pest-Management and Conservation, Faculty of Agriculture and Life Sciences, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Pest-Management and Conservation, Lincoln University",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Department of Pest-management and Conservation, Faculty of Agriculture & Life Sciences, Lincoln University",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Department of Pest-management and Conservation, Faculty of Agriculture and Life Science, Lincoln University",3,0,3,0,0,0,0,3,3,100%,0,0,100%
"Department of Pest-management and Conservation, Faculty of Agriculture and Life Sciences, Lincoln University",9,7,1,0,1,0,0,9,2,22%,7,0,100%
"Department of Pest-management and Conservation, Lincoln University",10,3,2,1,2,1,1,10,7,70%,3,0,100%
"Department of Political Science and International Relations, University of Canterbury, Christchurch, New Zealand, Department of Environmental Management, Lincoln University",1,0,0,0,0,1,0,1,1,100%,0,0,100%
