Department,Total,closed,gold,diamond,bronze,green,hybrid,Journal articles,Open,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
"Biostatistical Group, Dean's Department, University of Otago",1,0,1,0,0,0,0,0,0,,0,0,0%
"Biostatistical Group, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"Biostatistical Group/Dean's Department, University of Otago",2,0,2,0,0,0,0,0,0,,0,0,0%
"Biostatistician, Department of Primary Health Care and General Practice, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Biostatistics Centre, Dunedin School of Medicine, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,1,100%
"Biostatistics Centre, University of Otago",3,1,1,0,0,0,1,3,2,66%,0,0,66%
"Biostatistics Unit, Dean's Office Dunedin School of Medicine, University of Otago",1,0,1,0,0,0,0,0,0,,0,0,0%
"Biostatistics Unit, Dean's Office, Dunedin School of Medicine, University of Otago",1,1,0,0,0,0,0,0,0,,0,0,0%
"Biostatistics Unit, Dunedin School of Medicine, University of Otago",2,0,0,0,0,1,1,2,2,100%,0,0,100%
"Biostatistics Unit, Office of the Dean, Dunedin School of Medicine, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Biostatistics and Computational Biology Unit, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Biostatistics, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Brain Health Research Centre, Brain Research New Zealand, Department of Psychology, University of Otago",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Brain Research New Zealand, A Centre of Research Excellence, Auckland, New Zealand, New Zealand Brain Research Institute, Christchurch, New Zealand, Department of Medicine, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"British Heart Foundation Centre for Cardiovascular Science, University of Edinburgh, 47 Little France Crescent, Edinburgh, EH16 4TJ, United Kingdom, Christchurch Heart Institute, University of Otago",1,1,0,0,0,0,0,1,0,0%,0,0,0%
"British Heart Foundation Centre for Cardiovascular Science, University of Edinburgh, 49 Little France Crescent, Edinburgh, EH16 4SA, United Kingdom, Christchurch Heart Institute, University of Otago",1,0,0,0,0,0,1,1,1,100%,0,0,100%
"British Heart Foundation Centre for Cardiovascular Science, University of Edinburgh, Edinburgh, United Kingdom, Christchurch Heart Institute, University of Otago",3,0,0,0,0,0,3,3,3,100%,0,0,100%
"Burden of Disease Epidemiology, Equity and Cost Effectiveness Programme, Department of Public Health, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Burden of Disease Epidemiology, Equity and Cost-Effectiveness Programme (BODE 3), Department of Public Health, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Burden of Disease Epidemiology, Equity and Cost-Effectiveness Programme (BODE³), Department of Public Health, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Burden of Disease Epidemiology, Equity and Cost-Effectiveness Programme, University of Otago",2,1,1,0,0,0,0,2,1,50%,0,1,100%
"Burwood Academy of Independent Living, Christchurch, New Zealand, Rehabilitation Research and Teaching Unit, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Business School, University of Auckland, 12 Grafton Road, Auckland, 1010, New Zealand, Education Unit, University of Otago",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Cakmak Lab, Department of Anatomy, School of Biomedical Sciences, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Cancer Genetics Laboratory, Te Aho Matatū, Department of Biochemistry, University of Otago",1,0,0,0,0,1,0,1,1,100%,0,0,100%
"Cancer Immunotherapy Programme, Malaghan Institute of Medical Research, Wellington, New Zealand, Wellington Blood & Cancer Centre, Capital & Coast DHB, Wellington, New Zealand, Department of Pathology & Molecular Medicine, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Cancer Society Tissue Bank, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Cancer Society of New Zealand, Wellington, New Zealand, University of Otago",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Cancer and Chronic Conditions (C3) Research Group, Department of Public Health, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Cancer and Chronic Conditions Research Group, Department of Public Health, University of Otago",2,2,0,0,0,0,0,2,0,0%,2,0,100%
"Canterbury District Health Board Regional Forensic Service, Christchurch, New Zealand, Psychological Medicine, Christchurch School of Medicine, University of Otago",1,0,0,0,1,0,0,1,1,100%,0,0,100%
"Canterbury Health Laboratories, Christchurch Hospital, Christchurch, New Zealand, Department of Pathology, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Capital and Coast District Health Board, Wellington, New Zealand, Bioethics Centre, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Capital and Coast District Health Board, Wellington, New Zealand, University of Otago",3,1,1,0,1,0,0,3,2,66%,1,0,100%
"Capital and Coast District Health BoardWellington, New Zealand, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Cardiac Department, National University Hospital, Cardiovascular Research Institute, National University Heart Centre, National University Health System, Singapore, Christchurch Heart Institute, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Cardiovascular Research Institute (CVRI), National University Heart Centre, Singapore, Singapore, Department of Medicine, Christchurch Heart Institute, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Cardiovascular Research Institute (CVRI), National University Heart Centre, Singapore, Singapore, Department of Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore, Department of Medicine, Christchurch Heart Institute, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Cardiovascular Research Institute, NUHS, Singapore, Singapore, Christchurch Heart Institute, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Cardiovascular Research Institute, National University Heart Centre Singapore, National University Health System, Singapore, Department of Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Christchurch Heart Institute, University of Otago",1,1,0,0,0,0,0,1,0,0%,1,0,100%
"Cardiovascular Research Institute, National University Heart Centre Singapore, Singapore, Department of Medicine, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Christchurch Heart Institute, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Cardiovascular Research Institute, National University Heart Centre, Singapore, Christchurch Heart Institute, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
"Cardiovascular Research Institute, National University Heart Centre, Singapore, Department of Surgery, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Christchurch Heart Institute, University of Otago",1,0,1,0,0,0,0,1,1,100%,0,0,100%
