WoS Subject,closed,gold,diamond,bronze,green,hybrid,Total,% Open,Closed/AAM embargoed,Closed/AAM immediate,Potential % open
Pediatrics,42,5,0,12,5,4,68,38,34,2,91
Pharmacology & Pharmacy,90,28,3,15,14,16,166,45,76,4,93
Philosophy,12,0,0,0,1,0,13,7,10,2,100
Physical Geography,17,6,0,3,2,2,30,43,16,1,100
Physics,16,11,1,1,49,6,84,80,5,7,95
Physiology,19,18,0,14,3,1,55,65,19,0,100
Plant Sciences,24,2,0,4,1,5,36,33,22,2,100
Polymer Science,9,2,0,0,0,0,11,18,9,0,100
Psychiatry,79,13,0,8,15,11,126,37,57,18,96
Psychology,156,19,3,4,31,14,227,31,108,39,96
Public Administration,16,0,0,1,0,1,18,11,15,1,100
"Public, Environmental & Occupational Health",134,86,5,26,15,27,293,54,83,42,96
"Radiology, Nuclear Medicine & Medical Imaging",5,3,0,3,3,8,22,77,5,0,100
Rehabilitation,98,1,0,7,9,1,116,15,76,4,84
Religion,13,0,0,1,0,1,15,13,8,5,100
Remote Sensing,4,0,0,1,3,1,9,55,4,0,100
Reproductive Biology,9,1,0,3,2,3,18,50,8,1,100
Research & Experimental Medicine,18,20,0,2,7,3,50,64,15,1,96
Respiratory System,20,5,1,12,5,5,48,58,17,2,97
Rheumatology,31,6,0,14,5,5,61,49,26,3,96
Robotics,2,0,0,0,0,0,2,0,0,0,0
Science & Technology - Other Topics,61,201,2,17,12,13,306,80,42,5,95
Social Issues,16,0,0,7,0,4,27,40,8,8,100
Social Sciences - Other Topics,131,2,2,16,13,9,173,24,90,36,97
Social Work,16,0,0,1,1,1,19,15,13,3,100
Sociology,19,0,0,2,1,0,22,13,11,8,100
Spectroscopy,11,0,0,0,0,0,11,0,9,2,100
Sport Sciences,53,4,1,6,3,0,67,20,36,7,85
Substance Abuse,27,1,0,7,8,5,48,43,17,10,100
Surgery,61,3,1,5,4,2,76,19,49,4,89
Telecommunications,2,4,0,0,0,0,6,66,1,0,83
Theater,1,0,0,0,0,0,1,0,0,1,100
Thermodynamics,3,0,0,0,1,0,4,25,3,0,100
Toxicology,14,1,2,0,0,2,19,26,12,0,89
Transplantation,0,1,0,1,0,0,2,100,0,0,100
Transportation,9,0,0,1,2,3,15,40,9,0,100
Tropical Medicine,1,7,1,6,2,5,22,95,1,0,100
Urban Studies,14,0,0,0,0,0,14,0,14,0,100
Urology & Nephrology,18,2,0,2,0,1,23,21,15,1,91
Veterinary Sciences,10,10,0,1,1,1,23,56,8,0,91
Virology,2,10,1,1,2,1,17,88,2,0,100
Water Resources,16,3,0,1,3,1,24,33,16,0,100
Women's Studies,3,0,0,0,0,0,3,100,0,0,100
Zoology,56,1,0,2,5,7,71,21,46,7,95
